Epoch,Loss,Accuracy,Precision,Recall,F1-score
1,0.6264778414522024,0.7314325132214302,0.7342894024696729,0.7314325132214302,0.7321106958158761
2,0.5188743479769019,0.7806104851690043,0.7827201991643093,0.7806104851690043,0.7812015941776972
3,0.430730421698707,0.8199586111749828,0.8215566692748155,0.8199586111749828,0.8203831601116679
4,0.34441736850010995,0.8593642216601518,0.8604356135225656,0.8593642216601518,0.8596772038734893
5,0.2715579236528891,0.8927627040699011,0.8933231988708815,0.8927627040699011,0.8929391258991053
6,0.2146825962152113,0.9178546792366061,0.918185039184632,0.9178546792366061,0.9179562638590271
7,0.16580025275813087,0.9369395263278915,0.9371740878004298,0.9369395263278915,0.937015175480317
8,0.13356690380982505,0.9512531616463555,0.951367974173518,0.9512531616463555,0.951296616877707
9,0.11323389083297704,0.9574614853989423,0.9575177779421059,0.9574614853989423,0.9574812325925349
10,0.08751846779041979,0.967751207174063,0.9677688254912141,0.967751207174063,0.9677563841255852
11,0.08783155935816467,0.9682685674867786,0.9683046643071676,0.9682685674867786,0.9682818605577118
12,0.07343456586001113,0.9732697171763623,0.9732832659968229,0.9732697171763623,0.9732759343873479
13,0.05983019189101041,0.9790756495746149,0.9790875801718958,0.9790756495746149,0.9790782496063863
14,0.0664809177910416,0.9765463324902276,0.9765471650336585,0.9765463324902276,0.9765463962844548
15,0.05152390747646089,0.9815762244194067,0.9815899427535343,0.9815762244194067,0.9815827472964954
16,0.05487189068020705,0.9806852149919522,0.9807043728160013,0.9806852149919522,0.9806922661668376
17,0.045991777195869124,0.9842492527017705,0.9842587361077004,0.9842492527017705,0.9842529837940069
18,0.05106481381089372,0.9810588641066912,0.9810609169962793,0.9810588641066912,0.9810594289765828
19,0.05112535934826797,0.9815762244194067,0.9815855840466086,0.9815762244194067,0.9815804966221386
20,0.039994302681674636,0.986146240515061,0.9861558740224016,0.986146240515061,0.9861503589645991
21,0.040064268002478295,0.9865773741089906,0.986584062190236,0.9865773741089906,0.9865794913678502
22,0.03687485873610165,0.9874108990572545,0.9874158309633783,0.9874108990572545,0.9874127156696983
23,0.037606175992336566,0.9867498275465624,0.9867514236402043,0.9867498275465624,0.9867503213453641
24,0.038450684312813205,0.9864911473902046,0.9864924890842334,0.9864911473902046,0.9864917408646676
25,0.039154737229075504,0.986146240515061,0.9861435239119971,0.986146240515061,0.9861448150755225
26,0.03613704361144782,0.9880432283283513,0.9880453573821524,0.9880432283283513,0.9880442048717047
27,0.03201601494990481,0.9892504023913543,0.989252539591309,0.9892504023913543,0.9892509491180369
28,0.03175382865318919,0.9886180731202575,0.9886191828530518,0.9886180731202575,0.988618587619287
29,0.03183225047199384,0.9890779489537824,0.9890783145505266,0.9890779489537824,0.9890778242969691
30,0.02787747740983511,0.9903138652563808,0.9903127013179139,0.9903138652563808,0.9903125943559551
